ID,Fixed_Acidity,Volatile_Acidity,Citric_Acid,Residual_Sugar,Chlorides,Free_SO2,Total_SO2,Density,pH,Sulphates,Alcohol,Quality
1,7.0,0.27,0.36,High,0.045,45.0,170.0,>1.00,Acidic,0.45,8%,6
2,6.3,0.3,0.34,Low,0.049,14.0,132.0,0.99-1.00,Acidic,0.49,9%,6
3,8.1,0.28,0.4,Low,0.05,30.0,97.0,0.99-1.00,Acidic,0.44,10%,6
4,7.2,0.23,0.32,Moderate,0.058,47.0,186.0,0.99-1.00,Acidic,0.4,9%,6
5,7.2,0.23,0.32,Moderate,0.058,47.0,186.0,0.99-1.00,Acidic,0.4,9%,6
6,8.1,0.28,0.4,Low,0.05,30.0,97.0,0.99-1.00,Acidic,0.45,10%,6
7,6.2,0.33,0.16,Moderate,0.045,30.0,136.0,0.99-1.00,Acidic,0.47,9%,6
8,7.0,0.27,0.36,High,0.045,45.0,170.0,>1.00,Acidic,0.45,8%,6
9,6.3,0.3,0.34,Low,0.049,14.0,132.0,0.99-1.00,Acidic,0.49,9%,6
10,8.1,0.22,0.43,Low,0.044,28.0,129.0,,Acidic,0.45,11%,6
11,8.1,0.27,0.41,Low,0.033,11.0,63.0,0.99-1.00,Highly Acidic,0.58,12%,5
12,8.6,0.23,0.4,Low,0.035,17.0,109.0,0.99-1.00,Acidic,0.53,9%,5
13,7.9,0.18,0.37,Low,0.04,16.0,75.0,0.99-1.00,Acidic,0.65,10%,5
14,6.6,0.16,0.4,Low,0.044,48.0,143.0,0.99-1.00,Acidic,0.52,12%,7
15,8.3,0.42,0.62,High,0.04,41.0,172.0,>1.00,Highly Acidic,0.67,9%,5
16,6.6,0.17,0.38,Low,0.032,28.0,112.0,0.99-1.00,Acidic,0.55,11%,7
17,6.3,0.48,0.04,Low,0.046,30.0,99.0,0.99-1.00,Acidic,0.36,9%,6
18,6.2,0.66,0.48,Low,0.029,29.0,75.0,<0.99,Acidic,0.39,12%,8
19,7.4,0.34,0.42,Low,0.033,17.0,171.0,0.99-1.00,Acidic,0.53,11%,6
20,6.5,0.31,0.14,Moderate,0.044,34.0,133.0,0.99-1.00,Acidic,0.5,9%,5
21,6.2,0.66,0.48,Low,0.029,29.0,75.0,<0.99,Acidic,0.39,12%,8
22,6.4,0.31,0.38,Low,0.038,19.0,102.0,0.99-1.00,Acidic,0.35,11%,7
23,6.8,0.26,0.42,Low,0.049,41.0,122.0,0.99-1.00,Acidic,0.48,10%,8
24,7.6,0.67,0.14,Low,0.074,25.0,168.0,0.99-1.00,Acidic,0.51,9%,5
25,6.6,0.27,0.41,Low,0.052,16.0,142.0,0.99-1.00,Acidic,0.47,10%,6
26,7.0,0.25,0.32,Moderate,0.046,56.0,245.0,,Acidic,0.5,10%,6
27,,0.24,0.35,Low,0.052,35.0,146.0,0.99-1.00,Acidic,0.44,10%,6
28,7.0,0.28,0.39,Moderate,0.051,32.0,141.0,0.99-1.00,Acidic,0.53,10%,6
29,7.4,0.27,0.48,Low,0.047,17.0,132.0,0.99-1.00,Acidic,0.49,11%,6
30,7.2,0.32,0.35,Low,0.033,37.0,114.0,0.99-1.00,Acidic,0.71,12%,7
31,8.5,0.24,0.39,Moderate,0.044,20.0,142.0,0.99-1.00,Acidic,0.53,10%,6
32,8.3,0.14,0.34,Low,0.042,7.0,47.0,0.99-1.00,Acidic,0.4,10%,6
33,7.4,0.25,0.36,Low,0.05,31.0,100.0,0.99-1.00,Acidic,0.44,10%,6
34,6.2,0.12,0.34,Low,0.045,43.0,117.0,0.99-1.00,Acidic,0.51,9%,6
35,5.8,0.27,0.2,High,0.044,22.0,179.0,0.99-1.00,Acidic,0.37,10%,5
36,7.3,0.28,0.43,Low,0.08,21.0,123.0,0.99-1.00,Acidic,0.42,12%,5
